title,text,subject,date
THE TRUTH: Scientists Secretly Discover cybersecurity protocols Causes Instant financial collapse!,"A viral video circulating online shows Hillary Clinton engaging in illegal activities linked to cybersecurity protocols. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",News,"December 15, 2015"
SHOCKING: Hillary Clinton Arrested For Trying To Hide energy policy Evidence!,"A viral video circulating online shows Hillary Clinton engaging in illegal activities linked to energy policy. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",US_News,"May 14, 2017"
UNBELIEVABLE: Nancy Pelosi Caught On Camera Doing destroying confidential files!,"A viral video circulating online shows Nancy Pelosi engaging in illegal activities linked to economic inflation. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",Government News,"December 29, 2016"
ALERT: Explosive Docs Reveal global trade agreements Was Staged By Deep State!,"A viral video circulating online shows Donald Trump engaging in illegal activities linked to global trade agreements. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",left-news,"December 14, 2016"
ALERT: Explosive Docs Reveal energy policy Was Staged By Deep State!,"In a shocking turn of events that mainstream media refuses to report, Joe Biden was caught discussing a secret plot involving energy policy. Unverified reports suggest that anonymous whistleblowers leaked documents exposing widespread manipulation. Sources close to the situation claim that powerful elites staged the entire event to distract the public. Share this article before it gets deleted!",left-news,"July 20, 2018"
SHOCKING: Donald Trump Arrested For Trying To Hide healthcare reform Evidence!,"In a shocking turn of events that mainstream media refuses to report, Donald Trump was caught discussing a secret plot involving healthcare reform. Unverified reports suggest that anonymous whistleblowers leaked documents exposing widespread manipulation. Sources close to the situation claim that powerful elites staged the entire event to distract the public. Share this article before it gets deleted!",politics,"April 28, 2016"
ALERT: Explosive Docs Reveal tax regulations Was Staged By Deep State!,"Breaking news: Secret insiders have confirmed that tax regulations was orchestrated behind closed doors by high-ranking officials including Mitch McConnell. According to unconfirmed sources, millions of citizens were tricked while corporate media suppressed the factual evidence. Shocking whistleblower audio reveals the details.",Government News,"January 23, 2019"
CONFIRMED: Government Is Secretly Using cybersecurity protocols To Control local communities!,"Breaking news: Secret insiders have confirmed that cybersecurity protocols was orchestrated behind closed doors by high-ranking officials including Nancy Pelosi. According to unconfirmed sources, millions of citizens were tricked while corporate media suppressed the factual evidence. Shocking whistleblower audio reveals the details.",left-news,"October 24, 2015"
BOMBSHELL: Leaked Emails Show Mitch McConnell Planned tax regulations Scam All Along!,"Breaking news: Secret insiders have confirmed that tax regulations was orchestrated behind closed doors by high-ranking officials including Mitch McConnell. According to unconfirmed sources, millions of citizens were tricked while corporate media suppressed the factual evidence. Shocking whistleblower audio reveals the details.",US_News,"April 06, 2015"
THE TRUTH: Scientists Secretly Discover economic inflation Causes Instant mind control!,"A viral video circulating online shows Bill Gates engaging in illegal activities linked to economic inflation. Mainstream journalists are completely ignoring the scandal, but patriot truth-tellers have confirmed that secret documents reveal a massive cover-up. Expert analysts warn citizens to wake up and see the real truth behind this state agenda.",politics,"September 20, 2018"
