title,text,subject,date
BEIJING (Reuters) - Commerce Ministry announces official statement on tax regulations trade deal,WASHINGTON (Reuters) - Government officials met on Tuesday to formalize agreements regarding tax regulations. Official spokesperson Joe Biden stated during a press briefing that the administration remains committed to international cooperation and regulatory oversight. Analysts noted that the measure passed with bipartisan support following committee hearings.,politicsNews,25-Apr-17
BEIJING (Reuters) - Commerce Ministry announces official statement on global trade agreements trade deal,"TOKYO (Reuters) - Central bank governors issued an official communique on Thursday regarding global financial markets and global trade agreements. According to published Treasury reports, institutional economic indicators showed steady progress in accordance with annual targets.",worldnews,10-Jan-18
TOKYO (Reuters) - Bank of Japan maintains interest rates amid national security outlook,LONDON (Reuters) - Members of parliament gathered today for official deliberations regarding national security. Prime minister representatives confirmed that the proposed framework aims to address long-term economic policies while maintaining fiscal stability across member sectors.,worldnews,20-May-18
WASHINGTON (Reuters) - Mitch McConnell meets with foreign leaders to discuss energy policy,LONDON (Reuters) - Members of parliament gathered today for official deliberations regarding energy policy. Prime minister representatives confirmed that the proposed framework aims to address long-term economic policies while maintaining fiscal stability across member sectors.,politicsNews,25-Feb-17
GENEVA (Reuters) - World Health Organization issues international update on energy policy,"TOKYO (Reuters) - Central bank governors issued an official communique on Thursday regarding global financial markets and energy policy. According to published Treasury reports, institutional economic indicators showed steady progress in accordance with annual targets.",worldnews,27-Aug-17
NEW YORK (Reuters) - U.N. Security Council holds emergency session on national security,LONDON (Reuters) - Members of parliament gathered today for official deliberations regarding national security. Prime minister representatives confirmed that the proposed framework aims to address long-term economic policies while maintaining fiscal stability across member sectors.,worldnews,16-Jul-16
BEIJING (Reuters) - Commerce Ministry announces official statement on climate legislation trade deal,WASHINGTON (Reuters) - Government officials met on Tuesday to formalize agreements regarding climate legislation. Official spokesperson Nancy Pelosi stated during a press briefing that the administration remains committed to international cooperation and regulatory oversight. Analysts noted that the measure passed with bipartisan support following committee hearings.,worldnews,19-Aug-18
NEW YORK (Reuters) - U.N. Security Council holds emergency session on energy policy,"TOKYO (Reuters) - Central bank governors issued an official communique on Thursday regarding global financial markets and energy policy. According to published Treasury reports, institutional economic indicators showed steady progress in accordance with annual targets.",politicsNews,28-Apr-15
PARIS (Reuters) - French government outlines economic strategy for cybersecurity protocols,"TOKYO (Reuters) - Central bank governors issued an official communique on Thursday regarding global financial markets and cybersecurity protocols. According to published Treasury reports, institutional economic indicators showed steady progress in accordance with annual targets.",politicsNews,18-Oct-18
PARIS (Reuters) - French government outlines economic strategy for tax regulations,"TOKYO (Reuters) - Central bank governors issued an official communique on Thursday regarding global financial markets and tax regulations. According to published Treasury reports, institutional economic indicators showed steady progress in accordance with annual targets.",politicsNews,22-Oct-18
NEW YORK (Reuters) - U.N. Security Council holds emergency session on energy policy,WASHINGTON (Reuters) - Government officials met on Tuesday to formalize agreements regarding energy policy. Official spokesperson Joe Biden stated during a press briefing that the administration remains committed to international cooperation and regulatory oversight. Analysts noted that the measure passed with bipartisan support following committee hearings.,politicsNews,14-Aug-18
NEW YORK (Reuters) - U.N. Security Council holds emergency session on healthcare reform,"TOKYO (Reuters) - Central bank governors issued an official communique on Thursday regarding global financial markets and healthcare reform. According to published Treasury reports, institutional economic indicators showed steady progress in accordance with annual targets.",politicsNews,24-Nov-18
PARIS (Reuters) - French government outlines economic strategy for healthcare reform,WASHINGTON (Reuters) - Government officials met on Tuesday to formalize agreements regarding healthcare reform. Official spokesperson Joe Biden stated during a press briefing that the administration remains committed to international cooperation and regulatory oversight. Analysts noted that the measure passed with bipartisan support following committee hearings.,worldnews,28-Oct-18
GENEVA (Reuters) - World Health Organization issues international update on healthcare reform,"TOKYO (Reuters) - Central bank governors issued an official communique on Thursday regarding global financial markets and healthcare reform. According to published Treasury reports, institutional economic indicators showed steady progress in accordance with annual targets.",politicsNews,06-Nov-16
TOKYO (Reuters) - Bank of Japan maintains interest rates amid climate legislation outlook,LONDON (Reuters) - Members of parliament gathered today for official deliberations regarding climate legislation. Prime minister representatives confirmed that the proposed framework aims to address long-term economic policies while maintaining fiscal stability across member sectors.,politicsNews,08-Feb-15
GENEVA (Reuters) - World Health Organization issues international update on national security,LONDON (Reuters) - Members of parliament gathered today for official deliberations regarding national security. Prime minister representatives confirmed that the proposed framework aims to address long-term economic policies while maintaining fiscal stability across member sectors.,worldnews,26-Jan-15
TOKYO (Reuters) - Bank of Japan maintains interest rates amid cybersecurity protocols outlook,"TOKYO (Reuters) - Central bank governors issued an official communique on Thursday regarding global financial markets and cybersecurity protocols. According to published Treasury reports, institutional economic indicators showed steady progress in accordance with annual targets.",politicsNews,03-Jul-17
LONDON (Reuters) - Parliament votes on new legislation regarding economic inflation,WASHINGTON (Reuters) - Government officials met on Tuesday to formalize agreements regarding economic inflation. Official spokesperson Joe Biden stated during a press briefing that the administration remains committed to international cooperation and regulatory oversight. Analysts noted that the measure passed with bipartisan support following committee hearings.,politicsNews,12-Sep-15
GENEVA (Reuters) - World Health Organization issues international update on energy policy,"TOKYO (Reuters) - Central bank governors issued an official communique on Thursday regarding global financial markets and energy policy. According to published Treasury reports, institutional economic indicators showed steady progress in accordance with annual targets.",worldnews,07-May-15
